Rk,Player,Age,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Jalen Brunson,28,0.504,0.349,0.915,35.3,30.7,2.5,5.7,0.5,0.3
2,Karl-Anthony Towns,29,0.5,0.367,0.766,35.1,24.8,12.2,1.8,0.5,0.2
3,OG Anunoby,27,0.458,0.293,0.708,37.5,17.5,3.8,1.5,2.3,1.7
4,Mikal Bridges,28,0.466,0.35,0.667,38.2,15.8,3.7,3.2,1.2,0.7
5,Josh Hart,29,0.452,0.182,0.8,33.1,8.3,9.3,3,1.3,0.2
6,Mitchell Robinson,26,0.789,,0.4,24.6,5.7,7.5,0.5,1,1.5
7,Miles McBride,24,0.333,0.313,0.909,18.3,5.5,1.5,1,0.3,0.2
8,Landry Shamet,27,0.5,0.538,,13.2,5.8,0.8,1.8,0.3,0
9,Delon Wright,32,0.222,0.167,1,9,1.4,0.4,1,0.6,0.2
10,Cameron Payne,30,0.2,0.286,,9.3,3,0.5,1,0,0
11,Precious Achiuwa,25,0.5,,0,3.3,0.7,0.7,0,0.3,0
12,Ariel Hukporti,22,1,,0,1.3,1,0,0,0,0
13,Pacôme Dadiet,19,,,,1.9,0,0,0,0,0
14,Tyler Kolek,23,,,,1.9,0,0,3,0,0
