Rk,Player,Age,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Pascal Siakam,30,0.524,0.5,0.674,36,24.8,5,3.5,1.3,0.7
2,Tyrese Haliburton,24,0.455,0.327,0.818,36.7,21,6,10.5,2.5,0.3
3,Aaron Nesmith,25,0.472,0.533,0.929,27.6,13.2,4,0.5,1.2,0.8
4,Myles Turner,28,0.56,0.318,0.714,29.3,13,3.2,1.5,0.5,1.8
5,Andrew Nembhard,25,0.411,0.438,0.75,33.9,9.8,3,3.5,2,0.2
6,Bennedict Mathurin,22,0.5,0.286,0.966,14.3,9.7,2.8,0.8,0,0
7,Obi Toppin,26,0.489,0.2,1,18.9,9,4.7,0.7,0.5,0.5
8,T.J. McConnell,32,0.538,0.25,0.667,15.6,8,3,3.2,0.2,0.2
9,Ben Sheppard,23,0.545,0.556,1,15.6,3.2,1.8,1,0.3,0
10,Thomas Bryant,27,0.4,0.5,1,8.8,3.8,1.5,0,0,0.3
11,Tony Bradley,27,0.5,0,0.667,9.6,2,2,0.3,0,0.3
12,Jarace Walker,21,0.6,0.5,,10.1,4,1,0,0.5,0.5
13,Johnny Furphy,20,,,,1.1,0,0.5,0,0,0
14,James Johnson,37,,,,0.8,0,0,0,0,0
